"","Team","Year","Week","Attendance","Opponent","HomeAway","Win","Date","Temperature","CumalitiveSeasonWins","PreviousSeasonWinningPerc","DivisionGame","t","Date2","Lag1Win","Lag2Win","Past2Win","Past3Win","PrevWinPercCat","Momentum","WeekGroup"
"1","Chicago Bears",2008,1,"66822","Colts","Away","W","9/7/08",68,0,0.438,0,"2008_1",2008-09-07,0,0,0,0,"mid","low","early"
"2","Chicago Bears",2008,2,"73828","Panthers","Away","L","9/14/08",79,1,0.438,0,"2008_2",2008-09-14,1,0,0,0,"mid","low","early"
"5","Chicago Bears",2008,5,"59790","Lions","Away","W","10/5/08",49,2,0.438,1,"2008_5",2008-10-05,1,0,0,0,"mid","low","early"
"6","Chicago Bears",2008,6,"64096","Falcons","Away","L","10/12/08",71,3,0.438,0,"2008_6",2008-10-12,1,1,1,0,"mid","low","early"
"11","Chicago Bears",2008,11,"71040","Packers","Away","L","11/16/08",32,5,0.438,1,"2008_11",2008-11-16,0,1,0,0,"mid","med","middle"
"12","Chicago Bears",2008,12,"61994","Rams","Away","W","11/23/08",37,5,0.438,0,"2008_12",2008-11-23,0,0,0,0,"mid","med","middle"
"13","Chicago Bears",2008,13,"63722","Vikings","Away","L","11/30/08",26,6,0.438,1,"2008_13",2008-11-30,1,0,0,0,"mid","med","middle"
"17","Chicago Bears",2008,17,"70838","Texans","Away","L","12/28/08",52,9,0.438,0,"2008_17",2008-12-28,1,1,1,1,"mid","high","late"
"18","Chicago Bears",2009,1,"70920","Packers","Away","L","9/13/09",68,0,0.563,1,"2009_1",2009-09-13,0,0,0,0,"mid","low","early"
"20","Chicago Bears",2009,3,"67938","Seahawks","Away","W","9/27/09",58,1,0.563,0,"2009_3",2009-09-27,1,0,0,0,"mid","low","early"
"23","Chicago Bears",2009,6,"68082","Falcons","Away","L","10/18/09",46,3,0.563,0,"2009_6",2009-10-18,1,1,1,1,"mid","low","early"
"24","Chicago Bears",2009,7,"64900","Bengals","Away","L","10/25/09",48,3,0.563,0,"2009_7",2009-10-25,0,1,0,0,"mid","low","middle"
"27","Chicago Bears",2009,10,"69732","49ers","Away","L","11/12/09",57,4,0.563,0,"2009_10",2009-11-12,0,1,0,0,"mid","low","middle"
"29","Chicago Bears",2009,12,"63854","Vikings","Away","L","11/29/09",35,4,0.563,1,"2009_12",2009-11-29,0,0,0,0,"mid","low","middle"
"32","Chicago Bears",2009,15,"71011","Ravens","Away","L","12/20/09",31,5,0.563,0,"2009_15",2009-12-20,0,1,0,0,"mid","med","late"
"34","Chicago Bears",2009,17,"56677","Lions","Away","W","1/3/10",13,6,0.563,1,"2009_17",2010-01-03,1,0,0,0,"mid","med","late"
"36","Chicago Bears",2010,2,"85168","Cowboys","Away","W","9/19/10",83,1,0.438,0,"2010_2",2010-09-19,1,0,0,0,"mid","low","early"
"38","Chicago Bears",2010,4,"77716","Giants","Away","L","10/3/10",57,3,0.438,0,"2010_4",2010-10-03,1,1,1,1,"mid","low","early"
"39","Chicago Bears",2010,5,"73464","Panthers","Away","W","10/10/10",67,3,0.438,0,"2010_5",2010-10-10,0,1,0,0,"mid","low","early"
"45","Chicago Bears",2010,11,"68752","Dolphins","Away","W","11/18/10",77,6,0.438,0,"2010_11",2010-11-18,1,1,1,0,"mid","med","middle"
"47","Chicago Bears",2010,13,"58119","Lions","Away","W","12/5/10",26,8,0.438,1,"2010_13",2010-12-05,1,1,1,1,"mid","high","middle"
"49","Chicago Bears",2010,15,"40504","Vikings","Away","W","12/20/10",29,9,0.438,1,"2010_15",2010-12-20,0,1,0,0,"mid","high","late"
"51","Chicago Bears",2010,17,"70833","Packers","Away","L","1/2/11",14,11,0.438,1,"2010_17",2011-01-02,1,1,1,0,"mid","high","late"
"53","Chicago Bears",2011,2,"73019","Saints","Away","L","9/18/11",77,1,0.688,0,"2011_2",2011-09-18,1,0,0,0,"high","low","early"
"56","Chicago Bears",2011,5,"67861","Lions","Away","L","10/10/11",64,2,0.688,1,"2011_5",2011-10-10,1,0,0,0,"high","low","early"
"60","Chicago Bears",2011,9,"69144","Eagles","Away","W","11/7/11",49,4,0.688,0,"2011_9",2011-11-07,1,1,1,0,"high","low","middle"
"63","Chicago Bears",2011,12,"59244","Raiders","Away","L","11/27/11",54,7,0.688,0,"2011_12",2011-11-27,1,1,1,1,"high","med","middle"
"65","Chicago Bears",2011,14,"76487","Broncos","Away","L","12/11/11",34,7,0.688,0,"2011_14",2011-12-11,0,0,0,0,"high","med","late"
"67","Chicago Bears",2011,16,"70574","Packers","Away","L","12/25/11",33,7,0.688,1,"2011_16",2011-12-25,0,0,0,0,"high","med","late"
"68","Chicago Bears",2011,17,"62867","Vikings","Away","W","1/1/12",26,7,0.688,1,"2011_17",2012-01-01,0,0,0,0,"high","med","late"
"70","Chicago Bears",2012,2,"70543","Packers","Away","L","9/13/12",54,1,0.5,1,"2012_2",2012-09-13,1,0,0,0,"mid","low","early"
"72","Chicago Bears",2012,4,"90080","Cowboys","Away","W","10/1/12",70,2,0.5,0,"2012_4",2012-10-01,1,0,0,0,"mid","low","early"
"73","Chicago Bears",2012,5,"67012","Jaguars","Away","W","10/7/12",81,3,0.5,0,"2012_5",2012-10-07,1,1,1,0,"mid","low","early"
"77","Chicago Bears",2012,9,"69143","Titans","Away","W","11/4/12",46,6,0.5,0,"2012_9",2012-11-04,1,1,1,1,"mid","med","middle"
"79","Chicago Bears",2012,11,"69732","49ers","Away","L","11/19/12",60,7,0.5,0,"2012_11",2012-11-19,0,1,0,0,"mid","med","middle"
"82","Chicago Bears",2012,14,"64134","Vikings","Away","L","12/9/12",27,8,0.5,1,"2012_14",2012-12-09,0,1,0,0,"mid","high","late"
"84","Chicago Bears",2012,16,"62734","Cardinals","Away","W","12/23/12",56,8,0.5,0,"2012_16",2012-12-23,0,0,0,0,"mid","high","late"
"85","Chicago Bears",2012,17,"64451","Lions","Away","W","12/30/12",24,9,0.5,1,"2012_17",2012-12-30,1,0,0,0,"mid","high","late"
"88","Chicago Bears",2013,3,"61575","Steelers","Away","W","9/22/13",56,2,0.625,0,"2013_3",2013-09-22,1,1,1,1,"high","low","early"
"89","Chicago Bears",2013,4,"64552","Lions","Away","L","9/29/13",63,3,0.625,1,"2013_4",2013-09-29,1,1,1,1,"high","low","early"
"92","Chicago Bears",2013,7,"83147","Redskins","Away","L","10/20/13",50,4,0.625,0,"2013_7",2013-10-20,1,0,0,0,"high","low","middle"
"94","Chicago Bears",2013,9,"78122","Packers","Away","W","11/4/13",48,4,0.625,1,"2013_9",2013-11-04,0,1,0,0,"high","low","middle"
"97","Chicago Bears",2013,12,"66024","Rams","Away","L","11/24/13",46,6,0.625,0,"2013_12",2013-11-24,1,0,0,0,"high","med","middle"
"98","Chicago Bears",2013,13,"64134","Vikings","Away","L","12/1/13",27,6,0.625,1,"2013_13",2013-12-01,0,1,0,0,"high","med","middle"
"100","Chicago Bears",2013,15,"71513","Browns","Away","W","12/15/13",40,7,0.625,0,"2013_15",2013-12-15,1,0,0,0,"high","med","late"
"101","Chicago Bears",2013,16,"69144","Eagles","Away","L","12/22/13",64,8,0.625,0,"2013_16",2013-12-22,1,1,1,0,"high","high","late"
"104","Chicago Bears",2014,2,"70799","49ers","Away","W","9/14/14",67,0,0.5,0,"2014_2",2014-09-14,0,0,0,0,"mid","low","early"
"105","Chicago Bears",2014,3,"78160","Jets","Away","W","9/22/14",63,1,0.5,0,"2014_3",2014-09-22,1,0,0,0,"mid","low","early"
"107","Chicago Bears",2014,5,"73659","Panthers","Away","L","10/5/14",52,2,0.5,0,"2014_5",2014-10-05,0,1,0,0,"mid","low","early"
"108","Chicago Bears",2014,6,"70712","Falcons","Away","W","10/12/14",74,2,0.5,0,"2014_6",2014-10-12,0,0,0,0,"mid","low","early"
"110","Chicago Bears",2014,8,"68756","Patriots","Away","L","10/26/14",58,3,0.5,0,"2014_8",2014-10-26,0,1,0,0,"mid","low","middle"
"112","Chicago Bears",2014,10,"78292","Packers","Away","L","11/9/14",35,3,0.5,1,"2014_10",2014-11-09,0,0,0,0,"mid","low","middle"
"115","Chicago Bears",2014,13,"64175","Lions","Away","L","11/27/14",32,5,0.5,1,"2014_13",2014-11-27,1,1,1,0,"mid","med","middle"
"119","Chicago Bears",2014,17,"52364","Vikings","Away","L","12/28/14",16,5,0.5,1,"2014_17",2014-12-28,0,0,0,0,"mid","med","late"
"122","Chicago Bears",2015,3,"69002","Seahawks","Away","L","9/27/15",55,0,0.313,0,"2015_3",2015-09-27,0,0,0,0,"low","low","early"
"124","Chicago Bears",2015,5,"75799","Chiefs","Away","W","10/11/15",50,1,0.313,0,"2015_5",2015-10-11,1,0,0,0,"low","low","early"
"125","Chicago Bears",2015,6,"57648","Lions","Away","L","10/18/15",42,2,0.313,1,"2015_6",2015-10-18,1,1,1,0,"low","low","early"
"128","Chicago Bears",2015,9,"68033","Chargers","Away","W","11/9/15",64,2,0.313,0,"2015_9",2015-11-09,0,0,0,0,"low","low","middle"
"129","Chicago Bears",2015,10,"58653","Rams","Away","W","11/15/15",56,3,0.313,0,"2015_10",2015-11-15,1,0,0,0,"low","low","middle"
"131","Chicago Bears",2015,12,"78488","Packers","Away","W","11/26/15",42,4,0.313,1,"2015_12",2015-11-26,0,1,0,0,"low","low","middle"
"134","Chicago Bears",2015,15,"52421","Vikings","Away","L","12/20/15",34,5,0.313,1,"2015_15",2015-12-20,0,0,0,0,"low","med","late"
"135","Chicago Bears",2015,16,"63734","Buccaneers","Away","W","12/27/15",79,5,0.313,0,"2015_16",2015-12-27,0,0,0,0,"low","med","late"
"137","Chicago Bears",2016,1,"71933","Texans","Away","L","9/11/16",83,0,0.375,0,"2016_1",2016-09-11,0,0,0,0,"low","low","early"
"139","Chicago Bears",2016,3,"90554","Cowboys","Away","L","9/25/16",78,0,0.375,0,"2016_3",2016-09-25,0,0,0,0,"low","low","early"
"141","Chicago Bears",2016,5,"66622","Colts","Away","L","10/9/16",58,1,0.375,0,"2016_5",2016-10-09,1,0,0,0,"low","low","early"
"143","Chicago Bears",2016,7,"78217","Packers","Away","L","10/20/16",46,1,0.375,1,"2016_7",2016-10-20,0,0,0,0,"low","low","middle"
"146","Chicago Bears",2016,10,"62898","Buccaneers","Away","L","11/13/16",70,2,0.375,0,"2016_10",2016-11-13,1,0,0,0,"low","low","middle"
"147","Chicago Bears",2016,11,"78898","Giants","Away","L","11/20/16",38,2,0.375,0,"2016_11",2016-11-20,0,1,0,0,"low","low","middle"
"150","Chicago Bears",2016,14,"61726","Lions","Away","L","12/11/16",26,3,0.375,1,"2016_14",2016-12-11,1,0,0,0,"low","low","late"
"153","Chicago Bears",2016,17,"66808","Vikings","Away","L","1/1/17",26,3,0.375,1,"2016_17",2017-01-01,0,0,0,0,"low","low","late"
