"","Team","Year","Week","Attendance","Opponent","HomeAway","Win","Date","Temperature","CumalitiveSeasonWins","PreviousSeasonWinningPerc","DivisionGame","t","Date2","Lag1Win","Lag2Win","Past2Win","Past3Win","PrevWinPercCat","Momentum","WeekGroup"
"3","Chicago Bears",2008,3,"62051","Buccaneers","Home","L","9/21/08",62,1,0.438,0,"2008_3",2008-09-21,0,1,0,0,"mid","low","early"
"4","Chicago Bears",2008,4,"62099","Eagles","Home","W","9/28/08",59,1,0.438,0,"2008_4",2008-09-28,0,0,0,0,"mid","low","early"
"7","Chicago Bears",2008,7,"62235","Vikings","Home","W","10/19/08",51,3,0.438,1,"2008_7",2008-10-19,0,1,0,0,"mid","low","middle"
"9","Chicago Bears",2008,9,"62188","Lions","Home","W","11/2/08",58,4,0.438,1,"2008_9",2008-11-02,1,0,0,0,"mid","low","middle"
"10","Chicago Bears",2008,10,"62124","Titans","Home","L","11/9/08",35,5,0.438,0,"2008_10",2008-11-09,1,1,1,0,"mid","med","middle"
"14","Chicago Bears",2008,14,"61736","Jaguars","Home","W","12/7/08",12,6,0.438,0,"2008_14",2008-12-07,0,1,0,0,"mid","med","late"
"15","Chicago Bears",2008,15,"61692","Saints","Home","W","12/11/08",25,7,0.438,0,"2008_15",2008-12-11,1,0,0,0,"mid","med","late"
"16","Chicago Bears",2008,16,"62151","Packers","Home","W","12/22/08",2,8,0.438,1,"2008_16",2008-12-22,1,1,1,0,"mid","high","late"
"19","Chicago Bears",2009,2,"62231","Steelers","Home","W","9/20/09",64,0,0.563,0,"2009_2",2009-09-20,0,0,0,0,"mid","low","early"
"21","Chicago Bears",2009,4,"62192","Lions","Home","W","10/4/09",53,2,0.563,1,"2009_4",2009-10-04,1,1,1,0,"mid","low","early"
"25","Chicago Bears",2009,8,"62262","Browns","Home","W","11/1/09",41,3,0.563,0,"2009_8",2009-11-01,0,0,0,0,"mid","low","middle"
"26","Chicago Bears",2009,9,"62309","Cardinals","Home","L","11/8/09",58,4,0.563,0,"2009_9",2009-11-08,1,0,0,0,"mid","low","middle"
"28","Chicago Bears",2009,11,"62421","Eagles","Home","L","11/22/09",46,4,0.563,0,"2009_11",2009-11-22,0,0,0,0,"mid","low","middle"
"30","Chicago Bears",2009,13,"61892","Rams","Home","W","12/6/09",31,4,0.563,0,"2009_13",2009-12-06,0,0,0,0,"mid","low","middle"
"31","Chicago Bears",2009,14,"62214","Packers","Home","L","12/13/09",35,5,0.563,1,"2009_14",2009-12-13,1,0,0,0,"mid","med","late"
"33","Chicago Bears",2009,16,"62479","Vikings","Home","W","12/28/09",22,5,0.563,1,"2009_16",2009-12-28,0,0,0,0,"mid","med","late"
"35","Chicago Bears",2010,1,"62080","Lions","Home","W","9/12/10",69,0,0.438,1,"2010_1",2010-09-12,0,0,0,0,"mid","low","early"
"37","Chicago Bears",2010,3,"62179","Packers","Home","W","9/27/10",57,2,0.438,1,"2010_3",2010-09-27,1,1,1,1,"mid","low","early"
"40","Chicago Bears",2010,6,"62137","Seahawks","Home","L","10/17/10",56,4,0.438,0,"2010_6",2010-10-17,1,0,0,0,"mid","low","early"
"41","Chicago Bears",2010,7,"62155","Redskins","Home","L","10/24/10",63,4,0.438,0,"2010_7",2010-10-24,0,1,0,0,"mid","low","middle"
"44","Chicago Bears",2010,10,"62206","Vikings","Home","W","11/14/10",43,5,0.438,1,"2010_10",2010-11-14,1,0,0,0,"mid","med","middle"
"46","Chicago Bears",2010,12,"62147","Eagles","Home","W","11/28/10",34,7,0.438,0,"2010_12",2010-11-28,1,1,1,1,"mid","med","middle"
"48","Chicago Bears",2010,14,"62347","Patriots","Home","L","12/12/10",22,9,0.438,0,"2010_14",2010-12-12,1,1,1,1,"mid","high","late"
"50","Chicago Bears",2010,16,"62310","Jets","Home","W","12/26/10",26,10,0.438,0,"2010_16",2010-12-26,1,0,0,0,"mid","high","late"
"52","Chicago Bears",2011,1,"62115","Falcons","Home","W","9/11/11",70,0,0.688,0,"2011_1",2011-09-11,0,0,0,0,"high","low","early"
"54","Chicago Bears",2011,3,"62339","Packers","Home","L","9/25/11",58,1,0.688,1,"2011_3",2011-09-25,0,1,0,0,"high","low","early"
"55","Chicago Bears",2011,4,"62135","Panthers","Home","W","10/2/11",54,1,0.688,0,"2011_4",2011-10-02,0,0,0,0,"high","low","early"
