"","Team","Year","Week","Attendance","Opponent","HomeAway","Win","Date","CumalitiveSeasonWins","PreviousSeasonWinningPerc","t","Date2","Lag1Win","Lag2Win","Past2Win","Past3Win","PrevWinPercCat","Momentum","WeekGroup"
"1","Buffalo Bills",2016,1,"71104","Ravens","Away","L","9/11/16",0,0.5,"2016_1",2016-09-11,0,0,0,0,"mid","low","early"
"4","Buffalo Bills",2016,4,"66829","patriots","Away","W","10/2/16",1,0.5,"2016_4",2016-10-02,1,0,0,0,"mid","low","early"
"5","Buffalo Bills",2016,5,"83679","Rams","Away","W","10/9/16",2,0.5,"2016_5",2016-10-09,1,1,1,0,"mid","low","early"
"6","Buffalo Bills",2016,6,"70003","49ers","Away","W","10/16/16",3,0.5,"2016_6",2016-10-16,1,1,1,1,"mid","low","early"
"7","Buffalo Bills",2016,7,"65658","Dolphins","Away","L","10/23/16",4,0.5,"2016_7",2016-10-23,1,1,1,1,"mid","med","middle"
"9","Buffalo Bills",2016,9,"69084","Seahawks","Away","L","11/7/16",4,0.5,"2016_9",2016-11-07,0,0,0,0,"mid","med","middle"
"11","Buffalo Bills",2016,11,"61356","Bengals","Away","W","11/20/16",4,0.5,"2016_11",2016-11-20,0,0,0,0,"mid","med","middle"
"13","Buffalo Bills",2016,13,"54759","Raiders","Away","L","12/4/16",6,0.5,"2016_13",2016-12-04,1,1,1,0,"mid","high","middle"
"17","Buffalo Bills",2016,17,"78160","Jets","Away","L","1/1/17",7,0.5,"2016_17",2017-01-01,0,1,0,0,"mid","high","late"
"20","Buffalo Bills",2015,3,"64869","Dolphins","Away","W","9/27/15",1,0.525,"2015_3",2015-09-27,0,1,0,0,"high","low","early"
"22","Buffalo Bills",2015,5,"65670","Titans","Away","W","10/11/15",2,0.525,"2015_5",2015-10-11,0,1,0,0,"high","low","early"
"24","Buffalo Bills",2015,7,"84021","Jaguars","Away","L","10/25/15",3,0.525,"2015_7",2015-10-25,0,1,0,0,"high","low","middle"
"27","Buffalo Bills",2015,10,"78160","Jets","Away","W","11/12/15",4,0.525,"2015_10",2015-11-12,1,0,0,0,"high","med","middle"
"28","Buffalo Bills",2015,11,"66829","Patriots","Away","L","11/23/15",5,0.525,"2015_11",2015-11-23,1,1,1,0,"high","med","middle"
"29","Buffalo Bills",2015,12,"72493","Chiefs","Away","L","11/29/15",5,0.525,"2015_12",2015-11-29,0,1,0,0,"high","med","middle"
"31","Buffalo Bills",2015,14,"69596","Eagles","Away","L","12/13/15",6,0.525,"2015_14",2015-12-13,1,0,0,0,"high","high","late"
"32","Buffalo Bills",2015,15,"80124","Redskins","Away","L","12/20/15",6,0.525,"2015_15",2015-12-20,0,1,0,0,"high","high","late"
"35","Buffalo Bills",2014,1,"62425","Bears","Away","W","9/7/14",0,0.375,"2014_1",2014-09-07,0,0,0,0,"mid","low","early"
"38","Buffalo Bills",2014,4,"71756","Texans","Away","L","9/28/14",2,0.375,"2014_4",2014-09-28,0,1,0,0,"mid","low","early"
"39","Buffalo Bills",2014,5,"62775","Lions","Away","W","10/5/14",2,0.375,"2014_5",2014-10-05,0,0,0,0,"mid","low","early"
"42","Buffalo Bills",2014,8,"78160","Jets","Away","W","10/26/14",4,0.375,"2014_8",2014-10-26,1,0,0,0,"mid","med","middle"
"45","Buffalo Bills",2014,11,"71573","Dolphins","Away","L","11/13/14",5,0.375,"2014_11",2014-11-13,0,1,0,0,"mid","med","middle"
"46","Buffalo Bills",2014,12,"56044","Jets","Away","W","11/24/14",5,0.375,"2014_12",2014-11-24,0,0,0,0,"mid","med","middle"
"48","Buffalo Bills",2014,14,"76913","Broncos","Away","L","12/7/14",7,0.375,"2014_14",2014-12-07,1,1,1,0,"mid","high","late"
"50","Buffalo Bills",2014,16,"53436","Raiders","Away","L","12/21/14",8,0.375,"2014_16",2014-12-21,1,0,0,0,"mid","high","late"
"51","Buffalo Bills",2014,17,"68756","Patriots","Away","W","12/28/14",8,0.375,"2014_17",2014-12-28,0,1,0,0,"mid","high","late"
"54","Buffalo Bills",2013,3,"76957","Jets","Away","L","9/22/13",1,0.375,"2013_3",2013-09-22,1,0,0,0,"mid","low","early"
"56","Buffalo Bills",2013,5,"71239","Browns","Away","L","10/3/13",2,0.375,"2013_5",2013-10-03,1,0,0,0,"mid","low","early"
"58","Buffalo Bills",2013,7,"60592","Dolphins","Away","W","10/20/13",2,0.375,"2013_7",2013-10-20,0,0,0,0,"mid","low","middle"
"59","Buffalo Bills",2013,8,"72405","Saints","Away","L","10/27/13",3,0.375,"2013_8",2013-10-27,1,0,0,0,"mid","low","middle"
