"","Team","Year","Week","Attendance","Opponent","HomeAway","Win","Date","CumalitiveSeasonWins","PreviousSeasonWinningPerc","t","Date2","Lag1Win","Lag2Win","Past2Win","Past3Win","PrevWinPercCat","Momentum","WeekGroup"
"2","Buffalo Bills",2016,2,"70256","Jets","Home","L","9/15/16",0,0.5,"2016_2",2016-09-15,0,0,0,0,"mid","low","early"
"3","Buffalo Bills",2016,3,"68647","Cardinals","Home","W","9/25/16",0,0.5,"2016_3",2016-09-25,0,0,0,0,"mid","low","early"
"8","Buffalo Bills",2016,8,"70442","Patriots","Home","L","10/30/16",4,0.5,"2016_8",2016-10-30,0,1,0,0,"mid","med","middle"
"12","Buffalo Bills",2016,12,"67849","Jaguars","Home","W","11/27/16",5,0.5,"2016_12",2016-11-27,1,0,0,0,"mid","med","middle"
"14","Buffalo Bills",2016,14,"69657","Steelers","Home","L","12/11/16",6,0.5,"2016_14",2016-12-11,0,1,0,0,"mid","high","late"
"15","Buffalo Bills",2016,15,"66529","Browns","Home","W","12/18/16",6,0.5,"2016_15",2016-12-18,0,0,0,0,"mid","high","late"
"16","Buffalo Bills",2016,16,"64690","Dolphins","Home","L","12/24/16",7,0.5,"2016_16",2016-12-24,1,0,0,0,"mid","high","late"
"18","Buffalo Bills",2015,1,"70319","Colts","Home","W","9/13/15",0,0.525,"2015_1",2015-09-13,0,0,0,0,"high","low","early"
"19","Buffalo Bills",2015,2,"70858","Patriots","Home","L","9/20/15",1,0.525,"2015_2",2015-09-20,1,0,0,0,"high","low","early"
"21","Buffalo Bills",2015,4,"70677","Giants","Home","L","10/4/15",2,0.525,"2015_4",2015-10-04,1,0,0,0,"high","low","early"
"23","Buffalo Bills",2015,6,"69593","bengals","Home","L","10/18/15",3,0.525,"2015_6",2015-10-18,1,0,0,0,"high","low","early"
"26","Buffalo Bills",2015,9,"70214","Dolphins","Home","W","11/8/15",3,0.525,"2015_9",2015-11-08,0,0,0,0,"high","low","middle"
"30","Buffalo Bills",2015,13,"68544","Texans","Home","W","12/6/15",5,0.525,"2015_13",2015-12-06,0,0,0,0,"high","med","middle"
"33","Buffalo Bills",2015,16,"70172","Cowboys","Home","W","12/27/15",6,0.525,"2015_16",2015-12-27,0,0,0,0,"high","high","late"
"34","Buffalo Bills",2015,17,"68670","Jets","Home","W","1/3/16",7,0.525,"2015_17",2016-01-03,1,0,0,0,"high","high","late"
"36","Buffalo Bills",2014,2,"69954","Dolphins","Home","W","9/14/14",1,0.375,"2014_2",2014-09-14,1,0,0,0,"mid","low","early"
"37","Buffalo Bills",2014,3,"68611","Chargers","Home","L","9/21/14",2,0.375,"2014_3",2014-09-21,1,1,1,1,"mid","low","early"
"40","Buffalo Bills",2014,6,"70185","Patriots","Home","L","10/12/14",3,0.375,"2014_6",2014-10-12,1,0,0,0,"mid","low","early"
"41","Buffalo Bills",2014,7,"68477","Vikings","Home","W","10/19/14",3,0.375,"2014_7",2014-10-19,0,1,0,0,"mid","low","middle"
"44","Buffalo Bills",2014,10,"68119","Chiefs","Home","L","11/9/14",5,0.375,"2014_10",2014-11-09,1,1,1,0,"mid","med","middle"
"47","Buffalo Bills",2014,13,"68576","Browns","Home","W","11/30/14",6,0.375,"2014_13",2014-11-30,1,0,0,0,"mid","high","middle"
"49","Buffalo Bills",2014,15,"70214","Packers","Home","W","12/14/14",7,0.375,"2014_15",2014-12-14,0,1,0,0,"mid","high","late"
"52","Buffalo Bills",2013,1,"69519","Patriots","Home","L","9/8/13",0,0.375,"2013_1",2013-09-08,0,0,0,0,"mid","low","early"
"53","Buffalo Bills",2013,2,"67819","Panthers","Home","W","9/15/13",0,0.375,"2013_2",2013-09-15,0,0,0,0,"mid","low","early"
"55","Buffalo Bills",2013,4,"68296","Ravens","Home","W","9/29/13",1,0.375,"2013_4",2013-09-29,0,1,0,0,"mid","low","early"
"57","Buffalo Bills",2013,6,"67739","bengals","Home","L","10/13/13",2,0.375,"2013_6",2013-10-13,0,1,0,0,"mid","low","early"
"60","Buffalo Bills",2013,9,"68159","Cheifs","Home","L","11/3/13",3,0.375,"2013_9",2013-11-03,0,1,0,0,"mid","low","middle"
"62","Buffalo Bills",2013,11,"68036","Jets","Home","W","11/17/13",3,0.375,"2013_11",2013-11-17,0,0,0,0,"mid","low","middle"
"67","Buffalo Bills",2013,16,"54305","Dolphins","Home","W","12/22/13",5,0.375,"2013_16",2013-12-22,1,0,0,0,"mid","med","late"
"70","Buffalo Bills",2012,2,"69402","Chiefs","Home","W","9/16/12",0,0.375,"2012_2",2012-09-16,0,0,0,0,"mid","low","early"
"72","Buffalo Bills",2012,4,"70684","Patriots","Home","L","9/30/12",2,0.375,"2012_4",2012-09-30,1,1,1,0,"mid","low","early"
"75","Buffalo Bills",2012,7,"68836","Titans","Home","L","10/21/12",3,0.375,"2012_7",2012-10-21,1,0,0,0,"mid","low","middle"
"79","Buffalo Bills",2012,11,"69118","Dolphins","Home","W","11/15/12",3,0.375,"2012_11",2012-11-15,0,0,0,0,"mid","low","middle"
"81","Buffalo Bills",2012,13,"53971","Jaguars","Home","W","12/2/12",4,0.375,"2012_13",2012-12-02,0,1,0,0,"mid","med","middle"
"82","Buffalo Bills",2012,14,"68109","Rams","Home","L","12/9/12",5,0.375,"2012_14",2012-12-09,1,0,0,0,"mid","med","late"
"85","Buffalo Bills",2012,17,"54533","Jets","Home","W","12/30/12",5,0.375,"2012_17",2012-12-30,0,0,0,0,"mid","med","late"
"87","Buffalo Bills",2011,2,"68191","Raiders","Home","W","9/18/11",1,0.25,"2011_2",2011-09-18,1,0,0,0,"low","low","early"
"88","Buffalo Bills",2011,3,"68174","Patriots","Home","W","9/25/11",2,0.25,"2011_3",2011-09-25,1,1,1,1,"low","low","early"
"90","Buffalo Bills",2011,5,"69803","Eagles","Home","W","10/9/11",3,0.25,"2011_5",2011-10-09,0,1,0,0,"low","low","early"
"94","Buffalo Bills",2011,9,"70133","Jets","Home","L","11/6/11",5,0.25,"2011_9",2011-11-06,1,0,0,0,"low","med","middle"
"98","Buffalo Bills",2011,13,"56463","Titans","Home","L","12/4/11",5,0.25,"2011_13",2011-12-04,0,0,0,0,"low","med","middle"
"100","Buffalo Bills",2011,15,"60988","Dolphins","Home","L","12/18/11",5,0.25,"2011_15",2011-12-18,0,0,0,0,"low","med","late"
"101","Buffalo Bills",2011,16,"45112","Broncos","Home","W","12/24/2011",5,0.25,"2011_16",2011-12-24,0,0,0,0,"low","med","late"
"103","Buffalo Bills",2010,1,"69295","Dolphins","Home","L","9/12/10",0,0.375,"2010_1",2010-09-12,0,0,0,0,"mid","low","early"
"106","Buffalo Bills",2010,4,"69262","Jets","Home","L","10/3/10",0,0.375,"2010_4",2010-10-03,0,0,0,0,"mid","low","early"
"107","Buffalo Bills",2010,5,"58304","Jaguars","Home","L","10/10/10",0,0.375,"2010_5",2010-10-10,0,0,0,0,"mid","low","early"
